Feature,Importance
UV15 (655)-A :: UV15 (655)-A,0.0007099759520150065
B8 (625)-W :: B8 (625)-W,0.0007099392569762622
V10 (590)-A :: V10 (590)-A,0.0007097298560359927
UV20 (780)-A :: UV20 (780)-A,0.0007070327915155658
V18 (780)-A :: V18 (780)-A,0.0007059906620386637
V10 (590)-H :: V10 (590)-H,0.0007042006141207446
YG1 (575)-A :: YG1 (575)-A,0.000702204304303784
UV14 (625)-A :: UV14 (625)-A,0.0007003506617175793
V2 (440)-W :: V2 (440)-W,0.0006982356639837718
UV2 (390)-A :: UV2 (390)-A,0.0006951705735497587
UV18 (725)-A :: UV18 (725)-A,0.0006937415954877467
UV10 (545)-A :: UV10 (545)-A,0.0006885558749225269
YG11 (810)-W :: YG11 (810)-W,0.0006867580620435402
UV22 (845)-A :: UV22 (845)-A,0.0006827745447704085
V13 (655)-W :: V13 (655)-W,0.0006790600679554616
UV19 (750)-H :: UV19 (750)-H,0.0006778981750489337
V20 (845)-A :: V20 (845)-A,0.0006747336721291405
V12 (625)-A :: V12 (625)-A,0.000670284883054572
V19 (810)-A :: V19 (810)-A,0.0006687130547063036
UV12 (590)-A :: UV12 (590)-A,0.0006615727108127487
UV21 (810)-A :: UV21 (810)-A,0.0006602392237607108
UV13 (605)-A :: UV13 (605)-A,0.0006575033372899155
UV11 (575)-A :: UV11 (575)-A,0.0006510125076289869
UV16 (675)-W :: UV16 (675)-W,0.0006393456926266452
V11 (605)-H :: V11 (605)-H,0.0006371975548196255
B16 (845)-W :: B16 (845)-W,0.0006369030150742358
UV1 (375)-A :: UV1 (375)-A,0.0006300989568303784
V17 (750)-W :: V17 (750)-W,0.0006279567841767926
UV17 (700)-W :: UV17 (700)-W,0.0006079817695366354
V5 (500)-W :: V5 (500)-W,0.0006057191094770846
UV20 (780)-H :: UV20 (780)-H,0.0006012590781208897
V16 (725)-W :: V16 (725)-W,0.0005969084851588991
UV18 (725)-W :: UV18 (725)-W,0.0005954284512226925
UV15 (655)-W :: UV15 (655)-W,0.0005953709903170383
UV10 (545)-H :: UV10 (545)-H,0.0005868009133462172
V18 (780)-H :: V18 (780)-H,0.0005819559798411815
V8 (545)-H :: V8 (545)-H,0.0005756082111952128
V12 (625)-H :: V12 (625)-H,0.000575206238985714
